1000
territory,51,78
vigorous,92,45
gaudy,82,39
savory,53,14
ceaseless,75,68
dust,40,18
rob,51,6
strengthen,40,18
aboard,99,74
change,26,46
tour,15,74
legs,60,30
many,16,95
paltry,61,5
zipper,29,31
songs,78,88
marry,70,88
great,63,12
veil,43,23
nest,15,40
careless,19,90
please,20,78
symptomatic,21,27
kind,5,82
easy,92,43
challenge,100,22
copy,79,10
end,97,77
sign,89,33
fierce,97,39
announce,2,25
empty,84,84
soda,35,40
dynamic,16,93
possess,88,80
unwieldy,24,47
sparkle,60,90
determined,7,41
scene,60,98
point,82,58
descriptive,3,83
heat,62,88
call,21,59
amusing,60,13
attempt,33,15
unsuitable,96,18
sad,42,34
cheerful,77,35
garrulous,58,5
alike,21,62
crib,88,19
cactus,88,55
mountainous,3,36
point,77,83
balance,95,82
release,38,58
back,92,19
spill,57,34
jump,56,59
abusive,10,55
taste,52,18
assorted,26,20
blue-eyed,11,74
spooky,97,100
happen,26,69
card,79,47
school,64,36
deeply,10,56
hate,42,29
ancient,36,16
unusual,92,59
sleepy,32,73
aspiring,89,89
fold,22,63
pets,100,93
beam,55,42
locket,28,74
birth,3,84
pig,11,59
obtain,35,55
extend,5,34
realise,70,100
abrasive,84,51
wet,5,73
turkey,40,89
onerous,25,28
petite,67,88
weak,68,34
knock,83,47
team,51,100
cherries,81,47
steam,13,44
abstracted,66,28
drink,97,10
downtown,31,57
imported,97,14
steadfast,5,59
mailbox,39,96
discussion,48,53
spot,28,90
bless,22,27
heavy,97,4
cars,90,24
innate,16,86
potato,46,23
confess,1,81
zealous,25,81
toys,4,45
trees,45,36
abounding,47,57
alert,20,79
quill,76,6
black,28,7
quack,31,31
scatter,64,81
command,7,6
chilly,15,38
eye,59,95
teaching,56,77
absurd,72,71
ignore,8,57
jail,56,66
lighten,26,30
parallel,48,56
roof,95,62
ruin,43,71
sidewalk,89,96
half,49,30
utter,94,97
plants,82,70
satisfy,64,55
eyes,90,75
ripe,44,79
motionless,93,50
abrupt,32,46
fine,58,98
box,32,73
vague,92,31
answer,98,3
ambitious,53,56
doctor,84,58
fruit,3,5
living,16,98
edge,59,34
graceful,85,37
four,82,56
spiky,69,73
nosy,8,16
detect,30,14
shelf,67,26
soggy,42,26
theory,45,5
expand,55,65
mine,93,40
rain,66,91
mountain,54,44
destruction,87,30
expert,59,17
wheel,82,19
boat,89,79
kitty,72,3
jittery,42,16
jolly,38,20
kill,18,76
need,57,88
care,71,31
debonair,96,18
wild,24,96
hallowed,100,40
size,76,31
squeak,23,47
delightful,17,12
whisper,13,71
quiver,70,61
future,12,30
amusement,71,82
welcome,56,85
high,39,44
frightening,23,98
adjoining,98,59
refuse,74,77
scold,87,26
cloudy,42,54
slippery,6,61
accurate,10,19
sticks,93,16
machine,71,59
expect,28,63
old-fashioned,49,86
incandescent,97,91
shave,33,6
board,76,90
night,13,13
giant,100,7
thumb,13,39
button,90,15
tug,43,78
five,43,13
laborer,42,27
protective,100,43
stop,30,53
zoo,52,43
communicate,57,89
purple,13,96
habitual,99,39
dead,5,98
average,65,20
hope,5,8
thirsty,27,38
front,27,26
dime,10,7
bat,18,34
jagged,78,94
unpack,49,77
interest,19,26
slow,37,50
charming,69,46
yarn,96,26
grouchy,93,63
growth,32,96
compete,2,67
elfin,38,26
deserve,1,11
mist,35,52
taste,11,21
serious,15,37
trot,54,51
badge,68,1
belief,38,97
observe,43,73
concentrate,91,12
poised,3,47
disturbed,1,79
secret,94,49
fantastic,48,94
juggle,25,54
curl,65,3
popcorn,49,87
macabre,65,80
open,22,76
cannon,55,59
acoustic,28,64
rock,32,30
gather,13,61
suspend,48,8
grin,13,83
verdant,40,68
matter,19,75
believe,75,86
crazy,98,9
impolite,74,27
invention,94,14
stupid,88,4
murder,58,19
door,34,72
frogs,51,92
lie,28,98
add,10,79
spotty,22,69
side,61,63
deep,22,54
pin,29,51
pathetic,46,88
deliver,87,29
loss,99,23
agree,33,70
wise,78,4
bathe,52,96
imminent,91,52
measure,8,71
wren,1,84
pretty,77,2
appliance,60,25
learned,88,25
smoke,25,95
boot,93,26
play,61,67
finicky,36,72
reward,85,5
guard,91,68
authority,10,67
roll,11,52
use,65,24
dirt,12,28
lumpy,16,8
suggest,59,55
sigh,39,43
iron,33,12
deadpan,4,31
eight,39,57
noiseless,25,43
grandfather,76,46
tired,88,23
meaty,78,25
branch,14,50
flood,11,19
festive,95,74
harsh,53,34
number,75,78
purpose,13,2
subdued,43,1
ruthless,6,44
normal,63,5
afternoon,39,95
wanting,71,42
actor,96,20
care,30,92
coach,98,91
form,66,32
rambunctious,71,63
head,41,76
joke,27,65
sweltering,84,98
receive,97,7
stream,24,80
land,12,60
shiver,60,44
diligent,32,89
meeting,98,9
wave,56,41
devilish,55,18
drain,98,10
stiff,46,17
weight,14,86
keen,23,2
nippy,58,53
flash,79,40
invincible,73,88
arrest,92,64
nervous,94,27
stay,94,80
clam,23,100
knit,66,75
preserve,61,79
vacuous,96,11
wicked,73,72
gate,20,56
sky,96,70
shaky,22,84
sip,38,67
cheese,39,80
frame,52,37
hose,45,40
round,6,84
prevent,52,39
awake,92,14
hover,53,2
afraid,5,96
rot,48,69
writing,37,28
jealous,71,92
butter,28,93
plantation,32,40
judge,41,27
pat,11,61
found,49,46
crawl,48,17
rampant,25,22
troubled,15,49
train,9,62
snotty,89,96
stitch,17,46
match,17,85
car,9,31
pretend,42,22
trashy,34,65
somber,68,51
superb,48,80
filthy,76,26
unique,48,42
numberless,15,99
creepy,41,88
merciful,16,26
late,91,25
nondescript,91,96
white,28,10
unwritten,100,69
bee,38,79
sleet,96,28
offer,60,26
pull,47,41
enter,66,34
grey,90,22
boiling,15,11
massive,99,57
earn,3,97
screw,68,30
wash,98,56
tick,11,59
tent,100,16
impartial,34,91
idea,79,51
clip,92,71
colossal,16,91
understood,4,25
painful,90,73
sister,25,76
event,52,90
substance,66,82
striped,57,22
bewildered,61,15
allow,73,6
tire,53,82
giddy,19,78
inform,83,19
degree,47,49
womanly,53,76
pipe,42,77
exultant,98,67
thundering,59,27
unequal,94,87
floor,86,15
huge,43,38
railway,41,50
stew,8,53
income,28,18
silky,52,23
likeable,96,35
tin,51,61
truthful,71,78
disapprove,31,77
miscreant,38,13
educated,61,66
wrestle,16,60
clever,46,19
vanish,4,37
temper,21,8
snails,22,70
mother,32,34
wood,93,24
cave,99,77
unlock,44,80
cynical,49,25
fast,45,7
admire,10,66
trains,39,78
pump,95,26
roll,97,19
straight,62,23
bomb,81,49
reply,49,28
therapeutic,55,48
run,25,66
play,79,78
deranged,83,63
pop,56,73
person,13,55
careful,12,56
sore,19,43
synonymous,27,10
modern,100,3
curvy,66,64
clear,33,63
ethereal,74,57
loutish,43,38
force,70,48
oafish,33,33
chin,56,50
wry,91,65
window,60,5
ubiquitous,5,17
futuristic,98,12
bubble,18,28
offend,97,62
direful,49,27
wrist,69,17
lewd,67,15
bake,92,67
wax,9,88
hateful,71,39
healthy,3,44
regular,67,84
dysfunctional,2,71
elbow,73,89
optimal,56,81
fire,69,27
baseball,33,77
hard-to-find,52,13
prefer,92,2
telling,100,60
wiry,40,7
subsequent,99,50
tacit,35,29
example,33,33
rejoice,4,39
maid,38,87
rake,73,25
fear,92,83
calm,93,39
riddle,90,11
number,34,53
shy,69,2
trick,56,12
yard,70,68
idiotic,81,42
muddled,32,58
ill-fated,42,59
exist,26,27
rigid,69,61
apparatus,66,20
rhythm,60,66
scare,84,95
face,48,71
way,81,64
itchy,55,93
coil,71,90
